snapshot,2035,2040,2045
2019-12-12 15:00:00,98.777937455565,86.66313585419051,80.34133016741029
2019-12-12 16:00:00,97.5554286692105,86.07362610668049,79.8404753011785
2019-12-12 17:00:00,96.33291988285599,85.48411635917047,79.3396204349467
2019-12-12 18:00:00,95.1104110965015,84.89460661166045,78.8387655687149
2019-12-12 19:00:00,94.01172343238285,84.59734187290243,78.43743932482914
2019-12-12 20:00:00,92.91303576826422,84.3000771341444,78.03611308094337
2019-12-12 21:00:00,91.81434810414558,84.00281239538639,77.6347868370576
2019-12-12 22:00:00,89.82373721829458,83.18735503197817,77.02628216735785
2019-12-12 23:00:00,87.83312633244357,82.37189766856994,76.41777749765811
2019-12-13 00:00:00,85.84251544659257,81.55644030516173,75.80927282795835
2019-12-13 01:00:00,85.20774696061478,81.09673422203417,75.28264529170191
2019-12-13 02:00:00,84.57297847463698,80.63702813890662,74.75601775544547
2019-12-13 03:00:00,83.9382099886592,80.17732205577906,74.22939021918903
2019-12-13 04:00:00,84.26960811975798,80.44633117545335,73.8804334745123
2019-12-13 05:00:00,84.60100625085677,80.71534029512766,73.53147672983557
2019-12-13 06:00:00,84.93240438195555,80.98434941480195,73.18251998515885
2019-12-13 07:00:00,85.41099077377187,80.40773601622712,72.92791053034296
2019-12-13 08:00:00,85.8895771655882,79.8311226176523,72.67330107552705
2019-12-13 09:00:00,86.36816355740451,79.25450921907746,72.41869162071116
2019-12-13 10:00:00,86.63723938786178,80.28044158789818,73.00176793497575
2019-12-13 11:00:00,86.90631521831907,81.30637395671889,73.58484424924032
2019-12-13 12:00:00,87.17539104877633,82.3323063255396,74.16792056350491
2019-12-13 13:00:00,88.12754171545191,83.23193300853013,74.60777398609423
2019-12-13 14:00:00,89.07969238212749,84.13155969152068,75.04762740868355
2019-12-13 15:00:00,90.03184304880307,85.03118637451121,75.48748083127288
2019-12-13 16:00:00,90.88409795684328,85.0698795117547,75.90950979617934
2019-12-13 17:00:00,91.73635286488347,85.1085726489982,76.33153876108581
2019-12-13 18:00:00,92.58860777292368,85.1472657862417,76.75356772599227
2019-12-13 19:00:00,92.36400574300852,84.95613220261963,76.16792925131405
2019-12-13 20:00:00,92.13940371309334,84.76499861899755,75.58229077663582
2019-12-13 21:00:00,91.91480168317818,84.57386503537548,74.9966523019576
2019-12-13 22:00:00,91.42169775868366,84.20288394190574,74.65755541184988
